1/CM,Line_intensity,global upper quanta,global lower quanta,local upper quanta,local lower quanta
1525.840791,4.127e-28,          1 0 0,          0 1 0, 10  1 10      , 10  4  7      
1525.995231,6.78e-30,          1 1 0,          1 0 0, 11  3  8      , 11  4  7      
1525.998021,4.303e-28,          1 1 0,          1 0 0,  4  2  2      ,  4  3  1      
1526.118671,3.617e-29,          0 2 0,          0 1 0, 13  6  7      , 14  5 10      
1526.253086,1.759e-24,          0 1 0,          0 0 0, 10  8  2      , 10  9  1      
1526.253248,5.277e-24,          0 1 0,          0 0 0, 10  8  3      , 10  9  2      
1526.263472,6.696e-29,          0 1 0,          0 0 0, 19  5 14      , 19  6 13      
1526.376673,1.459e-28,          0 1 1,          0 0 1,  8  2  6      ,  8  3  5      
1526.420339,3.823e-29,          0 1 0,          0 0 0, 18  7 11      , 18  8 10      
1526.45127,1.993e-27,          0 2 0,          0 1 0, 12  2 11      , 11  3  8      
1526.562999,8.242e-28,          0 1 1,          0 0 1,  4  2  2      ,  4  3  1      
1526.725471,3.131e-29,          1 1 0,          0 2 0,  9  3  6      ,  9  6  3      
1526.809204,2.297e-27,          1 1 0,          1 0 0,  2  1  2      ,  2  2  1      
1526.946905,8.892e-24,          0 1 0,          0 0 0,  9  8  1      ,  9  9  0      
1526.94723,2.964e-24,          0 1 0,          0 0 0,  9  8  2      ,  9  9  1      
1527.266692,4.646e-28,          1 1 0,          1 0 0,  6  1  5      ,  6  2  4      
1527.32036,3.086e-20,          0 1 0,          0 0 0,  7  1  6      ,  7  2  5      
1527.997311,3.841e-29,          0 4 0,          0 3 0,  1  1  1      ,  0  0  0      
1528.160937,5.466e-30,          0 2 0,          0 1 0, 15  2 13      , 14  5 10      
1528.3112,9.57e-23,          0 2 0,          0 1 0,  2  0  2      ,  2  1  1      
1528.32815,2.193e-25,          0 2 0,          0 1 0,  7  1  7      ,  6  2  4      
1528.56822,2.568e-20,          0 1 0,          0 0 0,  3  2  2      ,  3  3  1      
1529.03259,1.728e-22,          0 1 0,          0 0 0, 10  4  6      , 10  5  5      
1529.039279,5.079e-30,          1 0 0,          0 1 0, 15  3 12      , 15  6  9      
1529.09741,2.595e-25,          0 1 0,          0 0 0, 13  1 12      , 12  4  9      
1529.23225,4.988e-24,          0 1 0,          0 0 0, 13  5  8      , 13  6  7      
1529.299183,2.067e-27,          0 2 0,          0 1 0, 11  5  6      , 12  4  9      
1529.46393,1.554e-23,          0 1 0,          0 0 0,  9  1  9      ,  8  2  6      
1529.511251,2.032e-28,          1 0 0,          0 1 0,  9  3  7      ,  9  6  4      
1529.723031,8.623e-29,          1 1 0,          1 0 0,  8  2  6      ,  8  3  5      
1529.730155,7.357e-30,          1 1 0,          1 0 0, 10  3  7      , 10  4  6      
1529.903257,8.541e-27,          0 2 0,          0 1 0,  9  5  5      , 10  4  6      
1529.980776,1.406e-28,          0 4 0,          0 3 0,  3  1  2      ,  3  0  3      
1530.064342,1.014e-29,          0 1 0,          0 0 0, 18  9 10      , 18 10  9      
1530.210346,7.146e-30,          1 1 0,          0 0 1,  7  4  4      ,  7  4  3      
1530.284365,3.117e-29,          0 1 1,          0 0 1,  4  3  2      ,  5  2  3      
1530.604875,4.889e-27,          0 1 0,          0 0 0, 16  6 10      , 16  7  9      
1530.608226,7.739e-29,          0 0 1,          0 1 0,  8  4  5      ,  9  6  4      
